,epoch,eval,vloss
0,0,-1761.1158518791199,-909.807836096175
0,1,-1058.2052054554224,-517.4211106662079
0,2,-1609.4039125442505,-716.2435496497154
0,3,-1427.6269764900208,-565.1051904082299
0,4,-1255.3036323785782,-463.09122571885587
0,5,-1179.377394080162,-404.0967748941481
0,6,-1211.4806706011295,-370.84223935902116
0,7,-1573.7858018875122,-501.06035059928894
0,8,-1237.3970518112183,-310.691773352623
0,9,-1316.7534012794495,-292.2329337501526
0,10,-1158.1270165145397,-253.40362874478103
0,11,-1018.964713120833,-172.54805020274128
0,12,-1162.2063769102097,-208.58601208746433
0,13,-1431.8688135147095,-290.92813535928724
0,14,-1176.4617496728897,-232.75512043982744
0,15,-1570.4989233016968,-415.02288359880447
0,16,-1527.8840489387512,-348.68895701646807
0,17,-1262.7138125300407,-290.69074014902117
0,18,-1712.4984674453735,-466.0510146570206
0,19,-1880.0857191085815,-535.8951007604599
0,20,-1712.5035963058472,-481.84853863954544
0,21,-1310.837970495224,-251.61835816979408
0,22,-1318.5853534936905,-294.6530698508024
0,23,-1881.8713083267212,-501.88532703876496
0,24,-1295.0910105705261,-288.42200542330744
0,25,-1544.1591691970825,-362.55438333034516
0,26,-1499.3073296546936,-415.06951142072677
0,27,-1533.7224571704865,-395.90432000637054
0,28,-1428.3928179740906,-327.92397514343264
0,29,-1450.0708162784576,-406.2917214167118
0,30,-1658.184374332428,-447.8125763845444
0,31,-1216.1730074882507,-211.67853300452234
0,32,-1383.9601511955261,-290.14813514590264
0,33,-1395.926197528839,-289.2270350289345
0,34,-1359.5391826629639,-290.4148579311371
0,35,-1722.2144865989685,-454.9671237659454
0,36,-1458.8633885383606,-361.8309701418877
0,37,-1621.476764678955,-442.7255979466438
0,38,-1343.1038185358047,-264.83928783237934
0,39,-1525.5939688682556,-378.56903641462327
0,40,-1344.0108444690704,-278.01153108000756
0,41,-1100.8522350043058,-183.30106604449452
0,42,-1442.226482629776,-316.2775142908096
0,43,-1416.0353105068207,-301.6847920167446
0,44,-1349.611886024475,-256.0651415348053
0,45,-1550.0744190216064,-400.5548473238945
0,46,-1323.187311887741,-269.34902544021605
0,47,-1296.5244934558868,-264.55561072945596
